sci_name,year,station,lat,lng,elev,wing_chord,weight
Acanthis flammea,2006,137,64.54083,-165.42361,17,72,13.7
Acanthis flammea,2006,137,64.54083,-165.42361,17,75,12.4
Acanthis flammea,2006,137,64.54083,-165.42361,17,72,12.4
Acanthis flammea,2006,137,64.54083,-165.42361,17,76,12.8
Acanthis flammea,2006,137,64.54083,-165.42361,17,72,12.3
Acanthis flammea,2006,137,64.54083,-165.42361,17,75,13.2
Acanthis flammea,2006,137,64.54083,-165.42361,17,72,11.2
Acanthis flammea,2006,137,64.54083,-165.42361,17,74,12
Acanthis flammea,2006,137,64.54083,-165.42361,17,73,11.7
Acanthis flammea,1997,155,63.42139,-150.445,884,73,12.8
Acanthis flammea,1997,155,63.42139,-150.445,884,72,14.8
Acanthis flammea,1997,155,63.42139,-150.445,884,72,11.2
Acanthis flammea,1997,155,63.42139,-150.445,884,74,12.4
Acanthis flammea,1997,155,63.42139,-150.445,884,71,12.8
Acanthis flammea,2000,155,63.42139,-150.445,884,71,12
Acanthis flammea,2000,155,63.42139,-150.445,884,75,13.9
Acanthis flammea,2000,155,63.42139,-150.445,884,72,13.1
Acanthis flammea,2000,155,63.42139,-150.445,884,71,11.3
Acanthis flammea,2000,155,63.42139,-150.445,884,69,12.9
Acanthis flammea,2000,155,63.42139,-150.445,884,72,11.8
Acanthis flammea,2000,155,63.42139,-150.445,884,74,12.5
Acanthis flammea,2000,155,63.42139,-150.445,884,73,13.5
Acanthis flammea,2000,155,63.42139,-150.445,884,73,14.1
Acanthis flammea,2000,155,63.42139,-150.445,884,73,14
Acanthis flammea,2001,155,63.42139,-150.445,884,71,11.7
Acanthis flammea,2001,155,63.42139,-150.445,884,73,12.2
Acanthis flammea,2001,155,63.42139,-150.445,884,77,13.6
Acanthis flammea,2001,155,63.42139,-150.445,884,73,12.3
Acanthis flammea,2001,155,63.42139,-150.445,884,73,13
Acanthis flammea,1995,157,61.22778,-149.70278,122,76,12.7
Acanthis flammea,1995,171,66.38472,-146.37944,120,74,13
Acanthis flammea,1996,171,66.38472,-146.37944,120,73,13.3
Acanthis flammea,1996,171,66.38472,-146.37944,120,75,13.7
Acanthis flammea,1996,171,66.38472,-146.37944,120,72,13.5
Acanthis flammea,1997,171,66.38472,-146.37944,120,72,13
Acanthis flammea,1997,171,66.38472,-146.37944,120,70,12.9
Acanthis flammea,1997,171,66.38472,-146.37944,120,71,13.1
Acanthis flammea,1997,171,66.38472,-146.37944,120,71,12.6
Acanthis flammea,1997,171,66.38472,-146.37944,120,68,12.2
Acanthis flammea,1997,171,66.38472,-146.37944,120,69,12.3
Acanthis flammea,1999,171,66.38472,-146.37944,120,72,12.1
Acanthis flammea,2000,171,66.38472,-146.37944,120,70,13.3
Acanthis flammea,2000,171,66.38472,-146.37944,120,71,12
Acanthis flammea,2000,171,66.38472,-146.37944,120,72,13.2
Acanthis flammea,2000,171,66.38472,-146.37944,120,70,12.3
Acanthis flammea,2000,171,66.38472,-146.37944,120,74,12.2
Acanthis flammea,2000,171,66.38472,-146.37944,120,73,12.6
Acanthis flammea,2000,171,66.38472,-146.37944,120,71,13.2
Acanthis flammea,2000,171,66.38472,-146.37944,120,70,12.5
Acanthis flammea,2000,171,66.38472,-146.37944,120,71,12.7
Acanthis flammea,2001,171,66.38472,-146.37944,120,72,14
Acanthis flammea,2001,171,66.38472,-146.37944,120,74,14
Acanthis flammea,2001,171,66.38472,-146.37944,120,74,13
Acanthis flammea,2001,171,66.38472,-146.37944,120,73,15
Acanthis flammea,2001,171,66.38472,-146.37944,120,73,13
Acanthis flammea,1995,176,61.14722,-149.72778,145,75,13.3
Acanthis flammea,1995,176,61.14722,-149.72778,145,72,11.7
Acanthis flammea,1995,176,61.14722,-149.72778,145,76,13.3
Acanthis flammea,1997,176,61.14722,-149.72778,145,72,12.7
Acanthis flammea,1997,176,61.14722,-149.72778,145,69,12.7
Acanthis flammea,1997,176,61.14722,-149.72778,145,71,12.1
Acanthis flammea,1997,176,61.14722,-149.72778,145,71,12.7
Acanthis flammea,1997,176,61.14722,-149.72778,145,73,12.6
Acanthis flammea,1997,176,61.14722,-149.72778,145,72,12.2
Acanthis flammea,1997,176,61.14722,-149.72778,145,71,12.7
Acanthis flammea,1995,233,57.18056,-157.26389,91,73,13.3
Acanthis flammea,1995,233,57.18056,-157.26389,91,74,13.7
Acanthis flammea,1995,233,57.18056,-157.26389,91,71,13.5
Acanthis flammea,1995,233,57.18056,-157.26389,91,70,12
Acanthis flammea,1996,233,57.18056,-157.26389,91,73,13
Acanthis flammea,1996,233,57.18056,-157.26389,91,71,12.8
Acanthis flammea,1996,233,57.18056,-157.26389,91,72,12.4
Acanthis flammea,1996,233,57.18056,-157.26389,91,74,13.3
Acanthis flammea,1996,233,57.18056,-157.26389,91,74,11.6
Acanthis flammea,1996,233,57.18056,-157.26389,91,73,10.6
Acanthis flammea,1997,233,57.18056,-157.26389,91,71,12.1
Acanthis flammea,1997,233,57.18056,-157.26389,91,71,12.2
Acanthis flammea,1997,233,57.18056,-157.26389,91,69,12.4
Acanthis flammea,1998,233,57.18056,-157.26389,91,74,12.8
Acanthis flammea,1999,233,57.18056,-157.26389,91,72,13.2
Acanthis flammea,2000,233,57.18056,-157.26389,91,75,12.9
Acanthis flammea,2000,233,57.18056,-157.26389,91,75,13.1
Acanthis flammea,2000,233,57.18056,-157.26389,91,70,14.1
Acanthis flammea,2000,233,57.18056,-157.26389,91,74,13
Acanthis flammea,2000,233,57.18056,-157.26389,91,73,12.5
Acanthis flammea,2000,233,57.18056,-157.26389,91,72,12.2
Acanthis flammea,2000,233,57.18056,-157.26389,91,71,12.2
Acanthis flammea,2000,233,57.18056,-157.26389,91,71,12.9
Acanthis flammea,2000,233,57.18056,-157.26389,91,70,13.9
Acanthis flammea,2000,233,57.18056,-157.26389,91,73,14.8
Acanthis flammea,2000,233,57.18056,-157.26389,91,72,12.7
Acanthis flammea,2000,233,57.18056,-157.26389,91,74,13.3
Acanthis flammea,2000,233,57.18056,-157.26389,91,72,12.5
Acanthis flammea,2000,233,57.18056,-157.26389,91,70,13.3
Acanthis flammea,2000,233,57.18056,-157.26389,91,72,14.6
Acanthis flammea,2000,233,57.18056,-157.26389,91,71,12.6
Acanthis flammea,2001,233,57.18056,-157.26389,91,72,13.2
Acanthis flammea,2001,233,57.18056,-157.26389,91,74,13.3
Acanthis flammea,2001,233,57.18056,-157.26389,91,73,12
Acanthis flammea,2001,233,57.18056,-157.26389,91,75,13
Acanthis flammea,2001,233,57.18056,-157.26389,91,73,12.7
Acanthis flammea,2001,233,57.18056,-157.26389,91,75,13.4
Acanthis flammea,2006,262,59.18028,-158.65556,55,74,12.5
Acanthis flammea,2006,262,59.18028,-158.65556,55,71,13.2
Acanthis flammea,2006,262,59.18028,-158.65556,55,72,12.6
Acanthis flammea,2006,262,59.18028,-158.65556,55,71,13.1
Acanthis flammea,2006,306,69.38222,-151.97194,79,73,14
Acanthis flammea,1995,339,55.16111,-162.81667,61,74,12.7
Acanthis flammea,1995,339,55.16111,-162.81667,61,73,12.5
Acanthis flammea,1995,339,55.16111,-162.81667,61,73,13.1
Acanthis flammea,1995,339,55.16111,-162.81667,61,70,12.9
Acanthis flammea,1995,339,55.16111,-162.81667,61,73,13.6
Acanthis flammea,1995,339,55.16111,-162.81667,61,73,12.8
Acanthis flammea,1996,339,55.16111,-162.81667,61,72,13.2
Acanthis flammea,1996,339,55.16111,-162.81667,61,76,12.8
Acanthis flammea,1998,339,55.16111,-162.81667,61,72,12.9
Acanthis flammea,1998,339,55.16111,-162.81667,61,75,13.6
Acanthis flammea,1998,339,55.16111,-162.81667,61,75,13.5
Acanthis flammea,1998,339,55.16111,-162.81667,61,67,11.5
Acanthis flammea,1998,339,55.16111,-162.81667,61,74,13.4
Acanthis flammea,1998,339,55.16111,-162.81667,61,74,13.5
Acanthis flammea,1998,339,55.16111,-162.81667,61,72,13.2
Acanthis flammea,1998,339,55.16111,-162.81667,61,74,14.3
Acanthis flammea,1998,339,55.16111,-162.81667,61,76,12.6
Acanthis flammea,1999,339,55.16111,-162.81667,61,66,11.6
Acanthis flammea,1999,339,55.16111,-162.81667,61,71,13.1
Acanthis flammea,1999,339,55.16111,-162.81667,61,73,15
Acanthis flammea,2006,385,59.16917,-158.71444,74,75,11.7
Acanthis flammea,2006,385,59.16917,-158.71444,74,74,12.2
Acanthis flammea,1992,445,63.59361,-149.61139,945,74,12.6
Acanthis flammea,1992,445,63.59361,-149.61139,945,73,13.2
Acanthis flammea,1992,445,63.59361,-149.61139,945,74,13.2
Acanthis flammea,1992,445,63.59361,-149.61139,945,79,14.1
Acanthis flammea,1992,445,63.59361,-149.61139,945,71,11.4
Acanthis flammea,1992,445,63.59361,-149.61139,945,74,13.9
Acanthis flammea,1992,445,63.59361,-149.61139,945,74,12
Acanthis flammea,1992,445,63.59361,-149.61139,945,72,12.2
Acanthis flammea,1992,445,63.59361,-149.61139,945,73,12
Acanthis flammea,1993,445,63.59361,-149.61139,945,74,11.8
Acanthis flammea,1993,445,63.59361,-149.61139,945,72,12
Acanthis flammea,1993,445,63.59361,-149.61139,945,72,12
Acanthis flammea,1993,445,63.59361,-149.61139,945,72,12.8
Acanthis flammea,1993,445,63.59361,-149.61139,945,74,13.3
Acanthis flammea,1993,445,63.59361,-149.61139,945,73,12.9
Acanthis flammea,1994,445,63.59361,-149.61139,945,74,13.2
Acanthis flammea,1994,445,63.59361,-149.61139,945,72,12.4
Acanthis flammea,1994,445,63.59361,-149.61139,945,73,12.7
Acanthis flammea,1994,445,63.59361,-149.61139,945,73,14.1
Acanthis flammea,1995,445,63.59361,-149.61139,945,74,11
Acanthis flammea,1995,445,63.59361,-149.61139,945,71,14
Acanthis flammea,1995,445,63.59361,-149.61139,945,72,13.7
Acanthis flammea,1995,445,63.59361,-149.61139,945,73,13.4
Acanthis flammea,1996,445,63.59361,-149.61139,945,74,12.6
Acanthis flammea,1996,445,63.59361,-149.61139,945,73,12.6
Acanthis flammea,1997,445,63.59361,-149.61139,945,76,12.6
Acanthis flammea,1997,445,63.59361,-149.61139,945,73,12.2
Acanthis flammea,1999,445,63.59361,-149.61139,945,78,14
Acanthis flammea,1999,445,63.59361,-149.61139,945,70,14
Acanthis flammea,1999,445,63.59361,-149.61139,945,75,13
Acanthis flammea,1999,445,63.59361,-149.61139,945,70,12
Acanthis flammea,1999,445,63.59361,-149.61139,945,72,13
Acanthis flammea,2000,445,63.59361,-149.61139,945,71,11
Acanthis flammea,2000,445,63.59361,-149.61139,945,73,12.8
Acanthis flammea,2000,445,63.59361,-149.61139,945,71,14.2
Acanthis flammea,2000,445,63.59361,-149.61139,945,72,13.6
Acanthis flammea,2000,445,63.59361,-149.61139,945,71,14.6
Acanthis flammea,2000,445,63.59361,-149.61139,945,72,13.8
Acanthis flammea,2000,445,63.59361,-149.61139,945,73,11.5
Acanthis flammea,2001,445,63.59361,-149.61139,945,73,14
Acanthis flammea,2001,445,63.59361,-149.61139,945,72,12.4
Acanthis flammea,2001,445,63.59361,-149.61139,945,76,11.8
Acanthis flammea,2001,445,63.59361,-149.61139,945,73,13.3
Acanthis flammea,2002,445,63.59361,-149.61139,945,70,12.6
Acanthis flammea,2002,445,63.59361,-149.61139,945,72,12.7
Acanthis flammea,2002,445,63.59361,-149.61139,945,71,12.5
Acanthis flammea,2002,445,63.59361,-149.61139,945,72,12.9
Acanthis flammea,2002,445,63.59361,-149.61139,945,75,12.5
Acanthis flammea,2000,473,60.725,-149.28056,213,73,12
Acanthis flammea,1995,489,64.73056,-156.76667,67,74,12.7
Acanthis flammea,1994,490,67.08333,-159.76667,15,72,12
Acanthis flammea,1994,490,67.08333,-159.76667,15,76,14
Acanthis flammea,1994,490,67.08333,-159.76667,15,72,13.1
Acanthis flammea,1994,490,67.08333,-159.76667,15,74,14.5
Acanthis flammea,1994,490,67.08333,-159.76667,15,74,12.5
Acanthis flammea,1994,490,67.08333,-159.76667,15,72,12
Acanthis flammea,1994,490,67.08333,-159.76667,15,73,12.7
Acanthis flammea,1994,490,67.08333,-159.76667,15,74,13.1
Acanthis flammea,1995,490,67.08333,-159.76667,15,76,11.7
Acanthis flammea,1995,490,67.08333,-159.76667,15,71,11.8
Acanthis flammea,1995,490,67.08333,-159.76667,15,72,12.7
Acanthis flammea,1995,490,67.08333,-159.76667,15,74,12.5
Acanthis flammea,1995,490,67.08333,-159.76667,15,72,13.2
Acanthis flammea,1995,490,67.08333,-159.76667,15,73,13
Acanthis flammea,1995,490,67.08333,-159.76667,15,71,12.7
Acanthis flammea,1995,490,67.08333,-159.76667,15,73,12.9
Acanthis flammea,1995,490,67.08333,-159.76667,15,74,13.1
Acanthis flammea,1996,490,67.08333,-159.76667,15,75,12.8
