,,,First Post-Synsacral Vertebra,,,,,,,,Mid-Caudal Vertebra,,,,,,,,Propygostylar Vertebra,,,,,,,,,,,Body Size Proxy Metrics,,,,,
Species,Specimen,Sex,Centrum Length,Centrum Width,Centrum Height,Spinous Process Height,Spinous Process Length,Spinous Process Width,Transverse Process Length,Transverse Process  Width,Centrum Length,Centrum Width,Centrum Height,Spinous Process Height,Spinous Process Length,Spinous Process  Width,Transverse Process Length,Transverse Process  Width,Centrum Length,Centrum Width,Centrum Height,Spinous Process Height,Spinous Process Length,Spinous Process  Width,Transverse Process Length,Transverse Process  Width,Ventral Process Height,Ventral Process Length,Ventral Process Width,Left Femur Length,Synsacrum Length,Sternum Length,Sternum Width,Sternal Keel Height,Pygostyle Size (mm2)
Copsychus malabaricus,AMNH 11766,F,1.04,1.21,0.13,0.44,1.16,0.33,0.3,1.65,0.915,0.995,0.54,1.01,1.01,0.2,0.69,1.845,0.54,0.83,0.13,0.78,0.58,0.09,0.63,1.64,0.84,0.52,0.88,18.43,13.01,17.7,10.42,6.14,15.33
,AMNH 12064,F,1.46,1.28,0.32,0.19,0.66,0.32,0.5,1.17,1.295,1.19,0.77,0.735,0.6,0.22,0.595,1.38,1.29,0.89,0.16,0.61,0.68,0.21,0.88,1.28,0.9,0.61,0.75,18.4,12.43,18.6,11.46,7.43,17.266
,FMNH 104407,F,1.72,2.04,0.92,0.83,1.13,0.52,1.02,1.58,1.625,1.64,1.09,0.94,1.5,0.395,1.23,1.83,1.29,1.53,0.91,1.1,0.73,0.39,0.63,1.19,1.3,0.79,1.09,19.3,14.57,19.74,10.47,7.58,13.883
,FMNH 347527,F,1.51,2.06,0.94,0.71,1.25,0.43,0.91,1.31,1.36,1.82,0.93,1.26,0.93,0.35,0.99,1.95,1.35,1.7,1.3,1.08,0.72,0.27,0.59,1.61,1.24,0.75,1.16,17.86,13.12,19.25,11.29,6.68,13.325
,KU 41039,F,1.7,2.03,0.86,1,1.99,0.3,1.2,1.78,1.7,1.8,1.17,1.45,1.69,0.35,0.86,1.8,1.23,1.71,1.18,1.17,0.78,0.36,0.54,0.69,1.23,1.07,1.86,21.44,14.74,20.75,11.01,6.24,15.777
,LSUMZ 160302,F,1.83,1.9,0.85,0.67,1.29,0.42,0.9,1.24,1.575,1.6,1.55,1.45,1.405,0.25,1.16,2.135,1.67,1.35,0.88,1.28,0.88,0.32,0.89,1.04,1.21,0.97,1.24,19.21,14.69,21.63,12.23,7.74,14.312
,UMMZ 158305,F,1.47,2.13,1.03,0.76,1.29,0.58,0.75,1.69,1.89,1.85,0.97,1.25,1.245,0.46,1.16,2.025,1.7,1.56,1.07,0.97,0.95,0.53,1.03,1.45,1.17,0.86,1.15,20.62,13.62,19.69,12.94,6.42,16.997
,USNM 320004,F,1.95,1.93,0.86,0.74,1.75,0.37,0.94,1.19,1.8,1.605,1.075,1.47,1.875,0.25,1.02,1.81,1.27,1.51,1.01,1.11,0.82,0.19,1.11,1.78,1,1,1.17,18.6,14.4,22.37,11.84,7.87,18.953
,USNM 612142,F,1.65,1.86,0.84,0.57,1.25,0.51,0.94,1.61,1.545,1.425,0.78,1.23,1.095,0.345,1,2.125,1.33,1.9,0.93,0.84,0.79,0.27,0.72,1.41,1.34,0.88,1.23,19.75,14.2,21.18,11.26,7.49,17.51
,YPM 104000,F,1.64,1.04,0.42,0.47,1.05,0.27,0.45,1.15,1.405,1.21,0.97,1.035,1.475,0.315,0.775,1.595,1.1,1.16,0.46,1.17,0.45,0.18,0.95,1.74,1.12,0.68,0.8,18.44,12.79,21.96,11.41,7.23,19.952
,YPM 107337,F,1.39,1.43,0.42,0.44,1.33,0.39,0.89,1.06,1.11,1.145,0.555,0.925,0.835,0.29,0.47,1.945,1.47,1.13,0.3,1.34,0.44,0.26,0.35,1.43,1.04,0.7,1.21,18.24,12.66,19.44,11.02,6.81,16.981
,AMNH 25552,M,1.41,1.27,0.13,0.33,1.14,0.37,0.57,1.73,1.36,1.545,0.325,0.84,1.01,0.18,0.685,1.76,1.32,1.67,0.54,1.12,0.65,0.27,0.66,1.52,1.37,0.75,1.18,20.01,14.77,20.85,12.37,7.61,22.553
,FMNH 104555,M,1.57,2,1.12,0.58,1.43,0.43,0.9,1.59,1.77,1.71,1.06,1.22,1.22,0.36,1.15,2.06,1.38,1.52,0.9,1.19,1.39,0.49,1.2,1.64,1.46,0.8,1.15,20.15,13.06,21.71,12.38,7.83,18.135
